pattern,seed,method,RF
mS,0,Treeomics,6
mS,10,Treeomics,7
mS,12,Treeomics,6
mS,2,Treeomics,3
mS,3,Treeomics,10
mS,4,Treeomics,5
mS,5,Treeomics,6
mS,7,Treeomics,6
mS,8,Treeomics,7
mS,9,Treeomics,2
S,17,Treeomics,5
S,23,Treeomics,9
S,25,Treeomics,9
S,31,Treeomics,8
S,32,Treeomics,8
S,35,Treeomics,6
S,40,Treeomics,10
S,49,Treeomics,8
S,62,Treeomics,7
S,81,Treeomics,9
M,209,Treeomics,13
M,473,Treeomics,22
M,512,Treeomics,15
M,534,Treeomics,10
M,545,Treeomics,13
M,565,Treeomics,9
M,694,Treeomics,13
M,76,Treeomics,12
M,865,Treeomics,12
M,907,Treeomics,15
R,1140,Treeomics,4
R,17,Treeomics,12
R,2155,Treeomics,10
R,247,Treeomics,9
R,518,Treeomics,8
R,538,Treeomics,13
R,571,Treeomics,10
R,950,Treeomics,10
R,955,Treeomics,8
R,981,Treeomics,10
